bc/prob_true_act,bc/neglogp,rollout/return_min,bc/samples_so_far,rollout/return_mean,dagger/round_episode_count,dagger/mean_episode_reward,dagger/round_timestep_count,bc/l2_norm,dagger/round_num,batch_size,bc/epoch,bc/entropy,bc/ent_loss,bc/loss,rollout/return_max,rollout/return_std,bc/l2_loss,dagger/total_timesteps,bc/batch
0.0006749093875394894,15.512167647034762,-3.879596069920808,32,-3.530671614408493,19,-0.4827661565259883,5043,50.50014877319336,0,32,0,4.256815433502197,-0.004256815649569035,15.507910831385193,-3.092331983614713,0.2517752877061131,0.0,5043,0
0.04955777649578978,7.4528437265077985,-3.9407976048532873,16032,-3.564183617406525,,,,79.29712677001953,,32,3,4.189373016357422,-0.00418937299400568,7.448654353513793,-2.856163778807968,0.37983499347634814,0.0,,500
0.0523594545472251,5.936426002246699,-4.33147344738245,32,-3.701995046727825,17,-0.44537651319714155,5117,89.35613250732422,1,32,0,4.1346893310546875,-0.004134689457714558,5.932291312788984,-3.464997559785843,0.323496816469837,0.0,10160,0
0.08880473578272222,2.6574316573906085,-3.5176057117059827,16032,-3.341747598024085,,,,120.00382995605469,,32,1,3.7654523849487305,-0.003765452653169632,2.653666204737439,-3.167344445362687,0.1469142400844407,0.0,,500
0.12708303966180468,3.6472928981561497,-3.5917732352390885,32032,-3.362014302914031,,,,126.74618530273438,,32,3,3.2825145721435547,-0.0032825146336108446,3.644010383522539,-3.0378896405454725,0.20149260885837564,0.0,,1000
0.15936359647020704,3.9415260415359596,-3.6657542111352086,32,-3.3792224576696754,17,-0.39618227411718937,5117,130.4238739013672,2,32,0,3.046269178390503,-0.0030462692957371473,3.9384797722402225,-3.0929232558701187,0.2234388531082027,0.0,15277,0
0.21391215963664745,2.022512209044444,-3.1634254595264792,16032,-2.330847111204639,,,,136.18870544433594,,32,1,2.7580981254577637,-0.0027580983005464077,2.0197541107438974,-1.543332847300917,0.6469360304814012,0.0,,500
0.32287605324884305,1.3539628923047946,-3.6456781765446067,32032,-2.543460533185862,,,,143.7462615966797,,32,2,2.4411768913269043,-0.002441176911816001,1.3515217153929786,-1.0465700092026964,0.945334194603391,0.0,,1000
0.4039104271220362,1.0053108515392801,-3.956659129005857,48032,-3.0412855812115596,,,,152.8181610107422,,32,3,2.198946475982666,-0.002198946662247181,1.003111904877033,-0.9537171728443354,1.0661593088615768,0.0,,1500
0.4003709730605579,4.072882144720852,-2.7010274077765644,32,-1.9660966010327683,18,-0.5181497890088294,5241,161.5582275390625,3,32,0,1.9983454942703247,-0.001998345600441098,4.070883799120411,-1.2119272879790515,0.5666621454681139,0.0,20518,0
0.5351825588145089,2.2774515391129295,-2.221344019053504,16032,-1.6219689414370806,,,,171.29306030273438,,32,0,1.8325531482696533,-0.0018325531855225563,2.275618985927407,-0.5332329851808026,0.5922694233798641,0.0,,500
0.6819499150565509,0.511508387015088,-2.7578561854898,32032,-1.7148966838227353,,,,182.0716552734375,,32,1,1.7011938095092773,-0.0017011938616633415,0.5098071931534247,-0.8314159239525907,0.7301597418610302,0.0,,1000
0.6821718202396746,1.2819869536566249,-1.0980750730377622,48032,-0.6432478620408801,,,,190.77723693847656,,32,2,1.5810750722885132,-0.0015810751356184483,1.2804058785210064,-0.27890292536176275,0.3273791800433437,0.0,,1500
0.7815445305593502,0.88169434133753,-3.2634884766303003,64032,-1.6501168063783553,,,,199.82623291015625,,32,3,1.4880739450454712,-0.0014880739618092775,0.8802062673757207,-0.4094763359753415,1.2242658667811344,0.0,,2000
0.7134590191052541,2.2184383208846072,-1.177873138047289,80032,-0.8888281675041071,,,,205.80934143066406,,32,3,1.4294334650039673,-0.0014294335851445794,2.2170088872994627,-0.6118243281598552,0.2428552837867175,0.0,,2500
0.8280400862066546,0.39067526357451815,-1.2131819433125202,32,-0.8538969585992163,18,-0.5380511962705188,5193,207.14666748046875,4,32,0,1.405957818031311,-0.0014059578534215689,0.3892693057210966,-0.3334285187011119,0.34149933638326924,0.0,25711,0
0.7188437296486117,3.4062466941937353,-1.3165751975611784,16032,-0.7687857437849743,,,,213.35592651367188,,32,0,1.432863473892212,-0.0014328635297715664,3.4048138306639637,-0.255987840682792,0.34013077085216026,0.0,,500
0.855151262208133,0.5473655815154984,-1.1200226241344353,32032,-0.8089893807115004,,,,219.4181365966797,,32,1,1.4675830602645874,-0.0014675831189379096,0.5458979983965605,-0.4906160013488261,0.2527637544006024,0.0,,1000
0.8229972669413844,0.8526097979105585,-3.6673862361349165,48032,-1.4301653324291692,,,,224.36180114746094,,32,1,1.4483469724655151,-0.0014483470004051924,0.8511614509101533,-0.6136881171551067,1.1410637331845435,0.0,,1500
0.8591453567790939,0.7567499902951946,-1.554993723082589,64032,-0.753606978240714,,,,229.2600555419922,,32,2,1.3921937942504883,-0.0013921938370913267,0.7553577964581033,-0.3437246473476989,0.45338652807427016,0.0,,2000
1.0023078846279567,0.3421900051908456,-2.5213404026580974,80032,-1.2014196101968992,,,,234.3927764892578,,32,3,1.293941617012024,-0.0012939416337758303,0.34089606355706975,-0.3635292243270669,0.7847408020259266,0.0,,2500
0.8822071502147244,0.6583026803009213,-1.47888425533165,96032,-0.7704153806349495,,,,238.6591033935547,,32,3,1.314010739326477,-0.001314010820351541,0.6569886694805698,-0.3032861286919797,0.4562391962799855,0.0,,3000
0.9269510801553417,1.4953287638911517,-0.80594139157256,32,-0.5107124770358495,18,-0.552013807826572,5216,240.36741638183594,5,32,0,1.2843343019485474,-0.0012843343429267406,1.494044429548225,-0.19454953854437917,0.242566766394588,0.0,30927,0
