batch_size,bc/l2_loss,bc/l2_norm,rollout/return_min,dagger/round_timestep_count,bc/neglogp,bc/loss,dagger/mean_episode_reward,dagger/total_timesteps,bc/ent_loss,bc/batch,rollout/return_std,bc/epoch,dagger/round_episode_count,bc/prob_true_act,rollout/return_max,bc/entropy,bc/samples_so_far,rollout/return_mean,dagger/round_num
32,0.0,46.50014877319336,-5.494818751001731,5160,20.367646116286636,20.363389300637067,-0.21046990200877194,5160,-0.004256815649569035,0,0.5501504388416636,0,25,0.00030514746243977476,-4.134317758493125,4.256815433502197,32,-4.712806192960125,0
32,0.0,63.37083435058594,-4.454889512155205,,2.7594565685346586,2.755415268379436,,,-0.004041300155222416,500,0.06925550754255785,3,,0.07072546670773319,-4.240374790737405,4.041299819946289,16032,-4.333157100249082,
32,0.0,67.27273559570312,-4.8477426279569045,5200,3.2585105057357984,3.2545512239000933,-0.2159860649934182,10360,-0.003959281835705042,0,0.37370738535680703,0,13,0.06064160571475079,-3.7624690167722292,3.9592814445495605,32,-4.13472079023486,1
32,0.0,88.28428649902344,-3.774531756644137,,2.234514852433952,2.231004043861779,,,-0.0035108085721731186,500,0.07945914381722713,1,,0.11310302266563901,-3.545590090332553,3.5108084678649902,16032,-3.6480197875294835,
32,0.0,113.07778930664062,-4.29181452607736,,3.0406325220269985,3.0376856001699246,,,-0.002946921857073903,1000,1.1066448181819426,3,,0.17900319135977577,-1.6182934861863032,2.9469218254089355,32032,-3.0859691038611343,
32,0.0,127.42850494384766,-4.199393085204065,5200,2.393746742214937,2.391188928559352,-0.17553876770230442,15560,-0.0025578136555850506,0,0.6842634536645978,0,13,0.2478374730516552,-2.4137608441524208,2.5578136444091797,32,-3.769564232719131,2
32,0.0,147.41600036621094,-4.54718936374411,,0.7222802276490828,0.7203692957526645,,,-0.001910931896418333,500,1.768907756703367,1,,0.5427990681042373,-0.3038159580246429,1.9109318256378174,16032,-1.7372742059800657,
32,0.0,165.25286865234375,-0.9281506796251051,,0.5164229592178845,0.5150989225936019,,,-0.0013240366242825985,1000,0.284847036717755,2,,0.9177139040804749,-0.1409728600847302,1.3240365982055664,32032,-0.4821061026974348,
32,0.0,180.04832458496094,-0.5416930788924219,,-0.2584635576696282,-0.25928249679246523,,,-0.0008189391228370368,1500,0.13443626657084776,3,,1.6688662979295064,-0.12664499871607404,0.8189390897750854,48032,-0.33884061128737814,
32,0.0,191.51541137695312,-0.4099996031727642,5056,-0.5750772466298835,-0.5755333881124565,-0.14396358973213602,20616,-0.0004561414825730026,0,0.06261993772394385,0,14,2.427227918148634,-0.2479146377881989,0.45614147186279297,32,-0.32605058971203105,3
32,0.0,201.66781616210938,-3.7513830484822392,,-0.5317042154075236,-0.5318822552090634,,,-0.00017803980153985322,500,1.5348828752574135,0,,2.830932048716445,-0.25393875670124544,0.1780397891998291,16032,-2.2457064493428334,
32,0.0,210.0098114013672,-3.920881766360253,,1.102852518786165,1.1029919854331074,,,0.00013946664694231004,1000,1.67244493047263,1,,3.989529507259265,-0.3342593995112111,-0.13946664333343506,32032,-1.8553100507346243,
32,0.0,216.1970977783203,-2.575675393920392,,-0.3865155395346595,-0.3861220910498308,,,0.00039344848482869565,1500,0.9426232416377853,2,,5.235006287762898,-0.1340193028227077,-0.39344847202301025,48032,-0.6955522978933004,
32,0.0,219.78695678710938,-0.3600671607564436,,-0.4390970286939921,-0.4385350263937073,,,0.0005620023002848029,2000,0.06734143848970245,3,,6.365901112499768,-0.16690738510078518,-0.5620023012161255,64032,-0.25747612869308795,
32,0.0,223.46224975585938,-3.0085476592648774,,-1.6903636884613338,-1.6897010295156765,,,0.0006626589456573129,2500,0.9692204476421395,3,,6.7396801748546205,-0.34458800553693436,-0.6626589298248291,80032,-1.144682682164421,
32,0.0,224.0983428955078,-0.6071777879042202,5358,-0.03829224465359149,-0.03760901849661169,-0.24342173884312313,25974,0.0006832261569797993,0,0.20365376560970627,0,15,7.301230193273581,-0.08127029572460742,-0.6832261085510254,32,-0.4297130429331446,4
32,0.0,227.9660186767578,-3.5204725793446414,,-0.7149037105884278,-0.7140533897365319,,,0.0008503208518959582,500,1.3255273456594563,0,,7.809395338056376,-0.20636728345562005,-0.8503208160400391,16032,-1.326349233221117,
32,0.0,230.3026123046875,-0.6498353750102979,,-2.0941302446386185,-2.09323784244185,,,0.0008924021967686713,1000,0.12638630267931011,1,,9.216218329016186,-0.2537569107953459,-0.892402172088623,32032,-0.45418391171333494,
32,0.0,234.05955505371094,-1.608579353953246,,-2.0016058054392785,-2.0005797538546473,,,0.0010260515846312046,1500,0.4321207981486978,1,,9.898483506357607,-0.4773241411385243,-1.0260515213012695,48032,-0.7553034504773677,
32,0.0,236.48646545410156,-1.2252543204667745,,-1.5417077210126695,-1.540639587850335,,,0.0010681331623345613,2000,0.375257948559862,2,,9.986732602789298,-0.1913865717142471,-1.0681331157684326,64032,-0.4937047223553236,
32,0.0,238.2394256591797,-0.49539741845728713,,-2.360212092171095,-2.3590874304060336,,,0.0011246617650613189,2500,0.11669307485047824,3,,11.914857962207211,-0.16952456618128053,-1.1246616840362549,80032,-0.27028516432073957,
32,0.0,240.34730529785156,-4.104002505890094,,-2.0575757042807314,-2.0564162081409965,,,0.0011594961397349834,3000,1.5190205928894922,3,,11.605189066861438,-0.17181925275326648,-1.1594960689544678,96032,-1.0845845716534313,
